Playername,Country,Age,Height,Position,Mean Year,Appearances,Goals,,,,,,
Albert Allen,England,,,Forward,1888,1,3,,,,,,
Dickie Baugh,England,,,Defender,1888,2,0,,,,,,
Frank Saunders,England,,,Midfielder,1888,1,0,,,,,,
Charlie Shelton,England,,,Midfielder,1888,1,0,,,,,,
Cecil White (footballer),England,,,Midfielder,1888,2,0,,,,,,
George Woodhall,England,,,Forward,1888,2,1,,,,,,
Walter Arnott,Scotland,,,,1888,14,0,,,,,,
William Dickson (footballer born 1866),Scotland,,,Forward,1888,1,4,,,,,,
Andrew Hannah,Scotland,,,Defender,1888,1,0,,,,,,
Albert Aldridge,England,,,Defender,1888.5,2,0,,,,,,
George Brann,England,,,Forward,1888.5,3,1,,,,,,
George Haworth,England,,,Midfielder,1888.5,5,0,,,,,,
Charlie Mason (footballer),England,,,Defender,1888.5,3,0,,,,,,
Bob Roberts (footballer),England,,,Goalkeeper,1888.5,3,0,,,,,,
Geordie Dewar,Scotland,,,Midfielder,1888.5,2,1,,,,,,
Harry Allen (footballer),England,,,Midfielder,1889,5,0,,,,,,
Billy Betts,England,,,Defender,1889,1,0,,,,,,
Frank Burton (footballer born 1865),England,,,Forward,1889,1,0,,,,,,
Fred Dewhurst,England,,,Forward,1889,9,12,,,,,,
Henry Hammond (footballer),England,,,Defender,1889,1,0,,,,,,
Arthur Lowder,England,,,Midfielder,1889,1,0,,,,,,
David Weir (English footballer),England,,,various,1889,2,0,,,,,,
John Yates (footballer),England,,,Forward,1889,1,3,,,,,,
David Black (footballer),Scotland,,,Forward,1889,1,1,,,,,,
David Calderhead,Scotland,,,Midfielder,1889,1,0,,,,,,
Harry Campbell,Scotland,,,Forward,1889,1,0,,,,,,
Willie Groves,Scotland,,,Forward,1889,3,4,,,,,,
Tom McInnes (footballer born 1869),Scotland,,,Forward,1889,1,1,,,,,,
James McLaren (footballer),Scotland,,,Defender,1889,3,1,,,,,,
William Paul (footballer),Scotland,,,Forward,1889,3,5,,,,,,
Albert Fletcher,England,,,Midfielder,1889.5,2,0,,,,,,
Billy Moon,England,,,Goalkeeper,1889.5,7,0,,,,,,
William Townley,England,,,Forward,1889.5,2,2,,,,,,
William Berry (footballer),Scotland,,,Forward,1889.5,4,0,,,,,,
Thomas McKeown,Scotland,,,Defender,1889.5,2,0,,,,,,
John Barton (footballer),England,,,Defender,1890,1,1,,,,,,
John Brodie (footballer born 1862),England,,,Forward,1890,3,1,,,,,,
Edmund Currey,England,,,Forward,1890,2,2,,,,,,
Bob Howarth,England,,,Defender,1890,4,0,,,,,,
Nat Walton,England,,,Forward,1890,1,0,,,,,,
Daniel Bruce (footballer),Scotland,,,Forward,1890,1,0,,,,,,
James Dunlop (footballer),Scotland,,,Forward,1890,1,0,,,,,,
John Murray (footballer born 1865),Scotland,,,Defender,1890,1,0,,,,,,
Thomas G. Wylie,Scotland,,,Forward,1890,1,1,,,,,,
Harry Daft,England,,,Forward,1890.5,5,3,,,,,,
Fred Geary,England,,,Forward,1890.5,2,3,,,,,,
Bill Rowley,England,,,Goalkeeper,1890.5,2,0,,,,,,
Alf Shelton,England,,,Midfielder,1890.5,6,1,,,,,,
Jack Southworth,England,,,Forward,1890.5,3,3,,,,,,
James Kelly (Scottish footballer),Scotland,,,Midfielder,1890.5,8,1,,,,,,
John Lindsay (footballer born 1862),Scotland,,,gaolkeeper,1890.5,3,0,,,,,,
Matt McQueen,Scotland,,,various,1890.5,2,0,,,,,,
Jem Bayliss,England,,,Forward,1891,1,0,,,,,,
Dennis Hodgetts,England,,,Forward,1891,6,1,,,,,,
Joseph Marsden,England,,,Defender,1891,1,0,,,,,,
Thomas Porteous (footballer),England,,,Defender,1891,1,0,,,,,,
Alf Underwood,England,,,Defender,1891,2,0,,,,,,
Leonard Wilkinson,England,,,Goalkeeper,1891,1,0,,,,,,
James Adams (footballer born 1864),Scotland,,,Defender,1891,3,0,,,,,,
Robert Buchanan (footballer),Scotland,,,Forward,1891,1,1,,,,,,
James Cleland (footballer),Scotland,,,Forward,1891,1,0,,,,,,
John McPherson (footballer born 1867),Scotland,,,Midfielder,1891,1,0,,,,,,
Tommy Clare,England,,,Defender,1891.5,4,0,,,,,,
Bob Kelso (footballer),Scotland,,,Defender,1891.5,7,0,,,,,,
Billy Bassett,England,,,Forward,1892,16,7,,,,,,
John Cox (footballer),England,,,Midfielder,1892,1,0,,,,,,
Harry Lilley,England,,,Defender,1892,1,0,,,,,,
John Pearson (footballer),England,,,Forward,1892,1,0,,,,,,
Albert Smith (footballer born 1869),England,,,Midfielder,1892,3,0,,,,,,
George Toone,England,,,Goalkeeper,1892,2,0,,,,,,
Michael Whitham,England,,,Defender,1892,1,0,,,,,,
Isaac Begbie,Scotland,,,Defender,1892,4,0,,,,,,
Peter Dowds,Scotland,,,Midfielder,1892,1,0,,,,,,
Robert Downie (footballer),Scotland,,,Goalkeeper,1892,1,0,,,,,,
David Mitchell (Scottish footballer),Scotland,,,Midfielder,1892,5,0,,,,,,
William Winckworth,England,,,Midfielder,1892.5,2,1,,,,,,
John McPherson (footballer born 1868),Scotland,,,Forward,1892.5,9,6,,,,,,
Chris Charsley,England,,,Goalkeeper,1893,1,0,,,,,,
Norman Cooper (sportsman),England,,,Midfielder,1893,1,0,,,,,,
John Devey,England,,,Forward,1893,2,1,,,,,,
John Goodall,England,,,Forward,1893,14,12,,,,,,
Alban Harrison,England,,,Defender,1893,2,0,,,,,,
Harry Wood (footballer),England,,,Forward,1893,3,1,,,,,,
Alex Latta,Scotland,,,Forward,1893,2,2,,,,,,
Willie Maley,Scotland,,,Defender,1893,2,0,,,,,,
Robert Holmes (footballer),England,,,Defender,1893.5,7,0,,,,,,
Fred Pelly,England,,,Defender,1893.5,3,0,,,,,,
Joe Schofield,England,,,Midfielder,1893.5,3,1,,,,,,
Robert Topham,England,,,Forward,1893.5,2,0,,,,,,
Jimmy Whitehead,England,,,Forward,1893.5,2,0,,,,,,
John Barker (Scottish footballer),Scotland,,,Forward,1893.5,2,4,,,,,,
Andrew McCreadie,Scotland,,,Defender,1893.5,2,0,,,,,,
Jack Taylor (Scottish footballer),Scotland,,,,1893.5,4,1,,,,,,
Edgar Chadwick,England,,,Forward,1894,7,3,,,,,,
Henry Chippendale,England,,,Forward,1894,1,0,,,,,,
George Kinsey,England,,,Midfielder,1894,4,0,,,,,,
Alf Milward,England,,,Midfielder,1894,4,3,,,,,,
Joe Reader,England,,,Goalkeeper,1894,1,0,,,,,,
Rupert Sandilands,England,,,Forward,1894,5,3,,,,,,
Arthur Topham,England,,,Defender,1894,1,0,,,,,,
David Alexander (footballer),Scotland,,,Forward,1894,2,1,,,,,,
Thomas Chambers (footballer),Scotland,,,Forward,1894,1,1,,,,,,
David Haddow,Scotland,,,Goalkeeper,1894,1,0,,,,,,
Jack Reynolds (footballer born 1869),England,,,Forward,1894.5,8,3,,,,,,
Frank Barrett (footballer),Scotland,,,Goalkeeper,1894.5,2,0,,,,,,
William Lambie,Scotland,,,Forward,1894.5,9,5,,,,,,
Jake Madden,Scotland,,,Midfielder,1894.5,4,1,,,,,,
Richard Raine Barker,England,,,Midfielder,1895,1,0,,,,,,
Gerard Dewhurst,England,,,Forward,1895,1,0,,,,,,
Lewis Vaughan Lodge,England,,,Defender,1895,5,0,,,,,,
Stephen Smith (footballer),England,,,Forward,1895,1,1,,,,,,
John Divers (footballer born 1873),Scotland,,,Forward,1895,1,1,,,,,,
Ned Doig,Scotland,,,Goalkeeper,1895,6,0,,,,,,
William McColl (footballer),Scotland,,,Forward,1895,1,0,,,,,,
Jimmy Oswald,Scotland,,,Forward,1895,3,1,,,,,,
Bill Sawers,Scotland,,,Forward,1895,1,0,,,,,,
Fred Spiksley,England,,,Forward,1895.5,7,5,,,,,,
Jimmy Turner,England,,,Midfielder,1895.5,3,0,,,,,,
Charlie Athersmith,England,,,Forward,1896,12,3,,,,,,
Frank Becton,England,,,Forward,1896,2,2,,,,,,
Tom Brandon,Scotland,,,Defender,1896,1,0,,,,,,
John Cameron (footballer born 1872),Scotland,,,Forward,1896,1,0,,,,,,
George Hogg,Scotland,,,Defender,1896,2,0,,,,,,
Peter Meehan,Scotland,,,Defender,1896,1,0,,,,,,
Daniel Paton,Scotland,,,Forward,1896,1,1,,,,,,
Davidson Berry,Scotland,,,Forward,1896.5,3,1,,,,,,
Tommy Hyslop,Scotland,,,Forward,1896.5,2,1,,,,,,
Duncan McLean (footballer born 1869),Scotland,,,Defender,1896.5,2,0,,,,,,
Harry Bradshaw (footballer born 1873),England,,,Forward,1897,1,0,,,,,,
William Foulke (footballer),England,,,Goalkeeper,1897,1,0,,,,,,
Rab Howell,England,,,Midfielder,1897,2,1,,,,,,
Bernard Middleditch,England,,,Midfielder,1897,1,0,,,,,,
George Allan (footballer),Scotland,,,Forward,1897,1,0,,,,,,
Kenneth Anderson (footballer),Scotland,,,Goalkeeper,1897,3,0,,,,,,
Dave Gardner (footballer),Scotland,,,Defender,1897,1,0,,,,,,
Jack Kennedy (footballer),Scotland,,,Forward,1897,1,0,,,,,,
John Patrick (footballer),Scotland,,,Goalkeeper,1897,2,0,,,,,,
Jock Drummond,Scotland,,,Defender,1897.5,14,0,,,,,,
