Playername,Country,Age,Height,Position,Mean Year,Appearances,Goals,,,,,,
Herbert Wimmer,Germany,69,1.79,Midfielder,1972,36,4,,,,,,
Jeff Blockley,England,,,Defender,1972,1,0,,,,,,
Martin Chivers,England,69,,Forward,1972,24,13,,,,,,
Rodney Marsh (footballer),England,69,,Forward,1972,9,1,,,,,,
Peter Storey,England,68,,Defender,1972,19,0,,,,,,
Wolfram L&#xF6;we,East Germany,69,1.74,Forward,1972,43,12,,,,,,
Frank Richter (footballer),East Germany,62,,Forward,1972,7,1,,,,,,
Ralf Schulenberg,East Germany,65,,Forward,1972,3,0,,,,,,
Joachim Streich,East Germany,63,1.73,Forward,1972,4,2,,,,,,
Manfred Zapf,East Germany,68,,Defender,1972,16,0,,,,,,
Ede Dunai,Hungary,65,,Midfielder,1972,12,2,,,,,,
Mih&#xE1;ly Kozma,Hungary,64,,Midfielder,1972,17,3,,,,,,
Mitsos Dimitriou,Greece,,,Defender,1972,12,0,,,,,,
George Kobayashi,Japan,66,1.73,Midfielder,1972,3,0,,,,,,
Giuseppe Furino,Italy,68,1.67,Midfielder,1972,3,0,,,,,,
Mahmoud Khordbin,Iran,65,,Forward,1972,2,0,,,,,,
Adolfo Andrade,Colombia,64,,Midfielder,1972,20,4,,,,,,
Jan van Beveren,Netherlands,,,Goalkeeper,1972,32,0,,,,,,
Barry Hulshoff,Netherlands,67,,Defender,1972,14,6,,,,,,
Wim Suurbier,Netherlands,69,,Defender,1972,60,3,,,,,,
Kenneth Olayombo,Nigeria,66,1.73,Forward,1972,,,,,,,,
Artur Jorge (footballer),Portugal,68,,Forward,1972,16,1,,,,,,
Marinho (footballer born 1943),Portugal,70,,Forward,1972,5,1,,,,,,
Jos&#xE9; Manuel Mourinho F&#xE9;lix,Portugal,76,,Goalkeeper,1972,1,0,,,,,,
Messias Timula,Portugal,,,Defender,1972,6,0,,,,,,
Zygmunt Maszczyk,Poland,69,,Midfielder,1972,36,0,,,,,,
Ryszard Szymczak,Poland,,1.66,Forward,1972,2,0,,,,,,
Anatoly Baidachny,Soviet Union,61,,Forward,1972,5,0,,,,,,
Vladimir Fedotov,Soviet Union,,,Forward,1972,22,4,,,,,,
Eduard Kozynkevych,Soviet Union,,,Forward,1972,6,1,,,,,,
Anatoliy Kuksov,Soviet Union,64,,Midfielder,1972,8,0,,,,,,
Volodymyr Malyhin,Soviet Union,64,,Defender,1972,3,0,,,,,,
Volodymyr Muntyan,Soviet Union,67,1.7,Midfielder,1972,49,7,,,,,,
Serhiy Morozov,Soviet Union,64,,Midfielder,1972,1,0,,,,,,
Yevhen Rudakov,Soviet Union,,,Goalkeeper,1972,6,,,,,,,
Oleksandr Tkachenko (footballer),Soviet Union,67,,Goalkeeper,1972,,,,,,,,
Andrei Yakubik,Soviet Union,64,,Forward,1972,2,0,,,,,,
Oganes Zanazanyan,Soviet Union,67,,Midfielder,1972,6,1,,,,,,
Oleksandr Zhuravlyov,Soviet Union,68,,Defender,1972,3,0,,,,,,
Jimmy Bone,Scotland,64,,Forward,1972,2,1,,,,,,
John Brownlie,Scotland,62,,Defender,1972,1,0,,,,,,
Eddie Colquhoun,Scotland,69,,Defender,1972,9,0,,,,,,
George Graham (footballer),Scotland,69,,Forward,1972,12,3,,,,,,
Vasile Ianul,Romania,,,Defender,1972,1,0,,,,,,
Nicolae Pantea,Romania,68,1.8,Midfielder,1972,3,1,,,,,,
Francisco Bertocchi,Uruguay,68,,Midfielder,1972,10,1,,,,,,
V&#xED;ctor Esp&#xE1;rrago,Uruguay,69,,Midfielder,1972,67,18,,,,,,
Ren&#xE9; Deck,Switzerland,69,1.84,Goalkeeper,1972,7,0,,,,,,
Claes Cronqvist,Sweden,69,,Forward,1972,16,0,,,,,,
Fethi Heper,Turkey,,,Forward,1972,4,0,,,,,,
Francisco Javier Aguilar Garc&#xED;a,Spain,65,1.72,Forward,1972,3,1,,,,,,
Pirri,Spain,69,1.74,Midfielder,1972,41,16,,,,,,
Jos&#xE9; Fernando Mart&#xED;nez Rodilla,Spain,64,1.69,Forward,1972,1,0,,,,,,
&#xC1;ngel Bargas,Argentina,67,1.75,Defender,1972.5,30,1,,,,,,
Ram&#xF3;n Heredia,Argentina,,1.76,Defender,1972.5,30,2,,,,,,
Robert Sara,Austria,68,1.73,Defender,1972.5,55,3,,,,,,
Jean Thissen,Belgium,68,,Defender,1972.5,34,0,,,,,,
Sepp Maier,Germany,70,1.85,Goalkeeper,1972.5,95,0,,,,,,
Georg Volkert,Germany,68,1.78,Forward,1972.5,12,2,,,,,,
Berti Vogts,Germany,67,1.68,Defender,1972.5,96,1,,,,,,
Allan Clarke (footballer born 1946),England,68,,Forward,1972.5,19,10,,,,,,
Jean-No&#xEB;l Huck,France,65,,Midfielder,1972.5,17,0,,,,,,
Jean-Michel Larqu&#xE9;,France,66,,Midfielder,1972.5,14,2,,,,,,
Marc Molitor,France,65,,Forward,1972.5,10,4,,,,,,
&#xCD;talo Estupi&#xF1;&#xE1;n,Ecuador,62,1.75,Forward,1972.5,14,4,,,,,,
Lakis Glezos,Greece,,,Defender,1972.5,10,1,,,,,,
Alan Vest,New Zealand,,,Forward,1972.5,17,6,,,,,,
Rafael Puente,Mexico,64,,Goalkeeper,1972.5,50,0,,,,,,
Noritaka Hidaka,Japan,67,,Forward,1972.5,4,0,,,,,,
Kazumi Takada,Japan,,1.69,Forward,1972.5,16,0,,,,,,
Aldo Agroppi,Italy,70,1.8,Midfielder,1972.5,5,0,,,,,,
Gianpietro Marchetti,Italy,65,1.8,Defender,1972.5,5,0,,,,,,
Sergio Santarini,Italy,66,1.8,Defender,1972.5,2,1,,,,,,
Luciano Spinosi,Italy,64,1.82,Defender,1972.5,19,1,,,,,,
Giora Spiegel,Israel,67,,Midfielder,1972.5,44,18,,,,,,
Javad Ghorab,Iran,65,1.81,Midfielder,1972.5,18,0,,,,,,
Karo Haghverdian,Iran,69,1.78,Midfielder,1972.5,23,2,,,,,,
Akbar Kargarjam,Iran,69,1.76,Defender,1972.5,,,,,,,,
Eddy Treijtel,Netherlands,68,,Goalkeeper,1972.5,5,0,,,,,,
Abel Miglietti,Portugal,68,,Forward,1972.5,4,0,,,,,,
Jerzy Kraska,Poland,62,1.76,Defender,1972.5,13,0,,,,,,
Viktor Kuznetsov (footballer),Soviet Union,65,,Midfielder,1972.5,8,0,,,,,,
Yuri Vasenin,Soviet Union,65,,Midfielder,1972.5,9,0,,,,,,
Ally Hunter,Scotland,64,,Goalkeeper,1972.5,4,0,,,,,,
Sandy Jardine,Scotland,,,Defender,1972.5,2,0,,,,,,
Peter Lorimer,Scotland,67,,Midfielder,1972.5,21,4,,,,,,
Mircea Lucescu,Romania,69,1.77,Midfielder,1972.5,70,9,,,,,,
R&#x103;ducanu Necula,Romania,68,1.89,Goalkeeper,1972.5,61,0,,,,,,
Romeo Corbo,Uruguay,62,,Forward,1972.5,22,0,,,,,,
Daniel Jeandupeux,Switzerland,65,,Forward,1972.5,35,2,,,,,,
Leif M&#xE5;lberg,Sweden,68,,Defender,1972.5,4,0,,,,,,
Roland Sandberg,Sweden,67,1.83,Forward,1972.5,37,15,,,,,,
Ender Konca,Turkey,66,,Forward,1972.5,14,3,,,,,,
Quique Costas,Spain,67,1.79,Defender,1972.5,13,0,,,,,,
Daniel Carnevali,Argentina,67,,Goalkeeper,1973,26,0,,,,,,
Juan Jos&#xE9; L&#xF3;pez,Argentina,63,,Midfielder,1973,1,1,,,,,,
Enrique Wolff,Argentina,65,1.75,Defender,1973,27,1,,,,,,
Josef Hickersberger,Austria,66,1.77,Midfielder,1973,39,5,,,,,,
Heinz Schilcher,Austria,67,,Midfielder,1973,1,0,,,,,,
Christian Piot,Belgium,66,,Goalkeeper,1973,40,1,,,,,,
Jairzinho,Brazil,69,1.73,Midfielder,1973,81,33,,,,,,
Leivinha,Brazil,64,1.75,Forward,1973,21,7,,,,,,
Marinho Peres,Brazil,67,,Defender,1973,15,1,,,,,,
Mois&#xE9;s Matias de Andrade,Brazil,,,Defender,1973,,,,,,,,
Adolfo Nef,Chile,68,,Goalkeeper,1973,42,0,,,,,,
Alberto Quintano,Chile,68,1.84,Defender,1973,49,0,,,,,,
Finn Laudrup,Denmark,69,,Forward,1973,19,6,,,,,,
Eigil Nielsen (footballer born 1948),Denmark,65,,Midfielder,1973,10,0,,,,,,
Reiner Geye,Germany,,1.85,Forward,1973,4,1,,,,,,
Klaus Wunder,Germany,63,1.76,Forward,1973,1,0,,,,,,
Kevin Hector,England,69,,Forward,1973,2,0,,,,,,
John Richards (footballer),England,63,,Forward,1973,1,0,,,,,,
J&#xFC;rgen Sparwasser,East Germany,66,1.8,Midfielder,1973,49,14,,,,,,
Bernard Gardon,France,62,1.8,Defender,1973,1,0,,,,,,
Dario Grava,France,65,,Defender,1973,1,0,,,,,,
Jean-Claude Osman,France,67,,Defender,1973,1,0,,,,,,
Daniel Ravier,France,66,,Midfielder,1973,2,0,,,,,,
Bertalan Bicskei,Hungary,,,Goalkeeper,1973,1,0,,,,,,
Michalis Kritikopoulos,Greece,,,Forward,1973,28,3,,,,,,
Michio Ashikaga,Japan,64,1.75,(retired),1973,7,0,,,,,,
Shusaku Hirasawa,Japan,65,1.65,Forward,1973,11,1,,,,,,
Daishiro Yoshimura,Japan,,1.72,Midfielder,1973,46,7,,,,,,
Abba Gindin,Israel,,,Forward,1973,6,0,,,,,,
Gabi Rosendoren,Israel,,,Midfielder,1973,7,0,,,,,,
Gholam Hossein Mazloumi,Iran,64,1.82,Forward,1973,48,37,,,,,,
Theo de Jong,Netherlands,67,,Midfielder,1973,15,3,,,,,,
Dick Schneider,Netherlands,66,,Defender,1973,11,2,,,,,,
Alfredo Quaresma,Portugal,70,,Forward,1973,3,1,,,,,,
Francisco Rebelo,Portugal,,,Defender,1973,8,0,,,,,,
Kazimierz Deyna,Poland,,1.8,Midfielder,1973,97,41,,,,,,
Zbigniew Gut,Poland,,1.8,Defender,1973,11,0,,,,,,
Marian Ostafi&#x144;ski,Poland,67,1.84,Defender,1973,11,0,,,,,,
Roy Coyle,Northern Ireland,68,,Midfielder,1973,5,0,,,,,,
Aleksandr Deryomov,Soviet Union,,,Defender,1973,1,0,,,,,,
Evgeny Lovchev,Soviet Union,65,,Defender,1973,52,1,,,,,,
Vadim Nikonov,Soviet Union,66,,Forward,1973,4,0,,,,,,
John Connolly (Scottish footballer),Scotland,64,,Forward,1973,1,0,,,,,,
George Connelly,Scotland,65,,Midfielder,1973,2,0,,,,,,
Eddie Gray (footballer born 1948),Scotland,66,,Midfielder,1973,12,3,,,,,,
Peter McCloy,Scotland,67,,Goalkeeper,1973,4,0,,,,,,
Frank Munro,Scotland,,,Defender,1973,9,0,,,,,,
Nicolae Dobrin,Romania,,,attacking midifielder,1973,48,6,,,,,,
Alberto Cardaccio,Uruguay,64,,Midfielder,1973,19,0,,,,,,
Walter Corbo,Uruguay,65,,Goalkeeper,1973,26,,,,,,,
Saul Lorenzo Rivero,Uruguay,,,,1973,9,0,,,,,,
Yasin &#xD6;zdenak,Turkey,65,1.84,Goalkeeper,1973,6,0,,,,,,
Heraldo Bezerra,Spain,,,Forward,1973,1,0,,,,,,
Manuel Clares,Spain,66,,Midfielder,1973,1,0,,,,,,
Mariano Garc&#xED;a Rem&#xF3;n,Spain,63,1.81,Goalkeeper,1973,2,0,,,,,,
Juan Planelles,Spain,63,1.78,Midfielder,1973,2,0,,,,,,
Juan Cruz Sol,Spain,66,1.8,Defender,1973,28,1,,,,,,
Rub&#xE9;n &#xD3;scar Valdez,Spain,68,1.7,Forward,1973,9,5,,,,,,
Ram&#xF3;n B&#xF3;veda,Argentina,65,,Midfielder,1973.5,8,1,,,,,,
Jorge Carrascosa,Argentina,66,1.68,Defender,1973.5,30,1,,,,,,
Enrique Chazarreta,Argentina,67,1.72,Midfielder,1973.5,11,0,,,,,,
Hans Pirkner,Austria,68,1.8,Forward,1973.5,20,4,,,,,,
Fons Bastijns,Belgium,,,Defender,1973.5,3,0,,,,,,
Erwin Vandendaele,Belgium,69,,Midfielder,1973.5,32,1,,,,,,
Marinho Chagas,Brazil,,1.78,Defender,1973.5,28,4,,,,,,
Hans Aabech,Denmark,65,,Forward,1973.5,3,0,,,,,,
Peter Dahl (footballer),Denmark,66,,Forward,1973.5,7,3,,,,,,
Jupp Kapellmann,Germany,64,1.72,Defender,1973.5,5,0,,,,,,
David Nish,England,66,,Defender,1973.5,5,0,,,,,,
Keith Weller,England,,,Forward,1973.5,4,1,,,,,,
Wolfgang Seguin,East Germany,68,1.78,Midfielder,1973.5,19,0,,,,,,
Jean-Fran&#xE7;ois Jodar,France,64,1.78,Defender,1973.5,6,1,,,,,,
Pierre Repellini,France,63,1.73,Defender,1973.5,4,0,,,,,,
Javier Guzm&#xE1;n,Mexico,,1.66,Defender,1973.5,38,2,,,,,,
Kozo Arai,Japan,63,1.78,Midfielder,1973.5,47,4,,,,,,
Nobuo Kawakami,Japan,66,1.76,Defender,1973.5,41,0,,,,,,
Giorgio Chinaglia,Italy,,,Forward,1973.5,14,4,,,,,,
Yehoshua Gal,Israel,63,,,1973.5,2,0,,,,,,
Rolando Villalobos,Costa Rica,61,1.78,Midfielder,1973.5,9,1,,,,,,
Willem van Hanegem,Netherlands,70,,Midfielder,1973.5,52,6,,,,,,
Kees van Ierssel,Netherlands,68,,Defender,1973.5,6,0,,,,,,
Wim Jansen,Netherlands,67,,Defender,1973.5,65,1,,,,,,
Rob Rensenbrink,Netherlands,67,1.78,Forward,1973.5,46,,,,,,,
V&#xED;tor Baptista,Portugal,,1.78,Forward,1973.5,11,2,,,,,,
Jos&#xE9; de Jesus Mendes,Portugal,67,,Defender,1973.5,8,0,,,,,,
Ant&#xF3;nio Jos&#xE9; Concei&#xE7;&#xE3;o Oliveira,Portugal,67,,Midfielder,1973.5,33,1,,,,,,
Zygmunt Kalinowski,Poland,65,1.82,Goalkeeper,1973.5,4,0,,,,,,
Jerzy Wyrobek,Poland,,,Defender,1973.5,15,1,,,,,,
Pat Rice,Northern Ireland,65,,Defender,1973.5,49,0,,,,,,
Yuriy Dehteryov,Soviet Union,65,,Goalkeeper,1973.5,17,0,,,,,,
Alex Forsyth (footballer),Scotland,62,,Defender,1973.5,10,0,,,,,,
Donald Ford,Scotland,69,,Forward,1973.5,3,0,,,,,,
Tom Forsyth,Scotland,65,1.83,Defender,1973.5,2,0,,,,,,
Jim Holton,Scotland,,,Defender,1973.5,15,2,,,,,,
Derek Johnstone,Scotland,60,,Defender,1973.5,2,0,,,,,,
Viorel N&#x103;stase,Romania,60,1.79,Forward,1973.5,2,0,,,,,,
Julio Morales,Uruguay,69,1.64,Forward,1973.5,24,11,,,,,,
Jan Olsson (footballer born 1942),Sweden,72,,Defender,1973.5,17,0,,,,,,
Juan Carlos P&#xE9;rez L&#xF3;pez (footballer born 1945),Spain,,1.74,Midfielder,1973.5,2,0,,,,,,
Roberto Juan Mart&#xED;nez,Spain,67,,Forward,1973.5,5,2,,,,,,
Carles Rexach,Spain,67,1.81,Midfielder,1973.5,15,2,,,,,,
Jos&#xE9; Francisco Rojo,Spain,67,1.77,Forward,1973.5,18,3,,,,,,
Enzo Ferrero,Argentina,61,,Midfielder,1974,3,1,,,,,,
Ger&#xF3;nimo Saccardi,Argentina,,,Midfielder,1974,2,0,,,,,,
Eduard Krieger,Austria,67,1.76,Defender,1974,25,0,,,,,,
Heinrich Strasser,Austria,65,,Defender,1974,26,0,,,,,,
Wilfried Van Moer,Belgium,69,1.68,Midfielder,1974,57,9,,,,,,
Sebasti&#xE3;o Miranda da Silva Filho,Brazil,62,,Forward,1974,6,0,,,,,,
Jean Manga-Ongu&#xE9;n&#xE9;,Cameroon,68,,Forward,1974,,,,,,,,
El&#xED;as Figueroa,Chile,67,1.86,Defender,1974,47,2,,,,,,
Ole Bj&#xF8;rnmose,Denmark,,1.78,Forward,1974,16,2,,,,,,
Heinz Flohe,Germany,,1.75,Midfielder,1974,39,8,,,,,,
Uli Hoene&#xDF;,Germany,62,1.81,Forward,1974,35,5,,,,,,
Bernd Nickel,Germany,65,1.7,Forward,1974,1,0,,,,,,
Josef Pirrung,Germany,,1.7,Forward,1974,2,0,,,,,,
Martin Dobson,England,66,,Midfielder,1974,5,0,,,,,,
Alec Lindsay,England,66,,Defender,1974,4,0,,,,,,
Malcolm Macdonald,England,64,,Forward,1974,14,6,,,,,,
Paul Madeley,England,69,,Defender,1974,24,0,,,,,,
Roy McFarland,England,66,,Defender,1974,28,0,,,,,,
Phil Parkes (footballer born 1950),England,64,,Goalkeeper,1974,1,0,,,,,,
Mike Pejic,England,64,,Defender,1974,4,0,,,,,,
Joe Royle,England,65,,Forward,1974,6,2,,,,,,
Frank Worthington,England,65,,Forward,1974,8,2,,,,,,
J&#xFC;rgen Croy,East Germany,67,1.86,Goalkeeper,1974,86,0,,,,,,
Ulrich Schulze,East Germany,66,,Goalkeeper,1974,1,0,,,,,,
Jean-Pierre Adams,France,66,1.78,Defender,1974,22,0,,,,,,
Alain Merchadier,France,62,,Defender,1974,5,0,,,,,,
Albert Vanucci,France,67,,Defender,1974,2,0,,,,,,
J&#xF3;zsef Horv&#xE1;th (footballer),Hungary,65,,Midfielder,1974,11,1,,,,,,
Mario Artica,Honduras,,,Forward,1974,,,,,,,,
Horacio L&#xF3;pez Salgado,Mexico,65,,Midfielder,1974,50,13,,,,,,
Kuniya Daini,Japan,69,1.73,Defender,1974,44,0,,,,,,
Kazuhisa Kono,Japan,63,1.68,Defender,1974,1,0,,,,,,
Domenico Caso,Italy,60,1.7,Midfielder,1974,1,0,,,,,,
Oscar Damiani,Italy,64,1.75,Midfielder,1974,2,0,,,,,,
Luciano Zecchini,Italy,65,1.8,Defender,1974,3,0,,,,,,
Yosef Sorinov,Israel,68,,,1974,19,0,,,,,,
Alireza Azizi,Iran,64,,Midfielder,1974,8,3,,,,,,
Nasser Hejazi,Iran,,1.85,Goalkeeper,1974,62,0,,,,,,
Rasoul Korbekandi,Iran,61,,Goalkeeper,1974,,,,,,,,
Masoud Mojdehi,Iran,,,Forward,1974,,,,,,,,
Pim Doesburg,Netherlands,70,1.86,Goalkeeper,1974,8,0,,,,,,
Peter Ressel,Netherlands,68,,Midfielder,1974,3,0,,,,,,
Arnaldo Silva,Portugal,70,,Midfielder,1974,1,0,,,,,,
Valter Costa,Portugal,64,,Midfielder,1974,1,0,,,,,,
Fernando Freitas,Portugal,,1.83,Defender,1974,9,0,,,,,,
Oct&#xE1;vio Machado,Portugal,65,1.75,Midfielder,1974,19,1,,,,,,
Alfredo Mur&#xE7;a,Portugal,,,Defender,1974,5,0,,,,,,
Miros&#x142;aw Bulzacki,Poland,62,,Defender,1974,23,0,,,,,,
Andrzej Fischer,Poland,62,,Goalkeeper,1974,2,0,,,,,,
Jerzy Gorgo&#x144;,Poland,65,1.92,Defender,1974,55,6,,,,,,
Bohdan Masztaler,Poland,64,,Midfielder,1974,22,2,,,,,,
Bryan Hamilton,Northern Ireland,67,,Midfielder,1974,50,4,,,,,,
Allan Hunter (footballer),Northern Ireland,,,Defender,1974,53,1,,,,,,
Nikolay Abramov (footballer born 1950),Soviet Union,,,Defender,1974,3,0,,,,,,
Oleg Dolmatov,Soviet Union,65,,Midfielder,1974,14,0,,,,,,
Mykhaylo Fomenko,Soviet Union,65,1.8,Defender,1974,24,0,,,,,,
Viktor Kolotov,Soviet Union,,1.8,Midfielder,1974,54,22,,,,,,
Thomson Allan,Scotland,67,,Goalkeeper,1974,2,0,,,,,,
John Deans,Scotland,68,,Forward,1974,2,0,,,,,,
David Harvey (footballer),Scotland,66,,Goalkeeper,1974,16,0,,,,,,
Tommy Hutchison,Scotland,66,,Midfielder,1974,17,1,,,,,,
Erich Schaedler,Scotland,,,Defender,1974,1,0,,,,,,
Pierre-Albert Chapuisat,Switzerland,66,1.73,Defender,1974,34,0,,,,,,
Ronnie Hellstr&#xF6;m,Sweden,65,1.92,Goalkeeper,1974,77,0,,,,,,
Osvaldo Piazza,Argentina,67,1.83,Defender,1974.5,15,0,,,,,,
Herwig Kircher,Austria,59,,Midfielder,1974.5,2,0,,,,,,
Werner Walzer,Austria,67,,Midfielder,1974.5,1,0,,,,,,
Roger Henrotay,Belgium,65,,Midfielder,1974.5,5,1,,,,,,
J&#xF8;rgen Kristensen,Denmark,67,,Midfielder,1974.5,19,3,,,,,,
Kristen Nygaard (footballer),Denmark,64,,Forward,1974.5,36,11,,,,,,
Dietmar Danner,Germany,63,,Midfielder,1974.5,6,0,,,,,,
Karl-Heinz K&#xF6;rbel,Germany,59,1.82,Defender,1974.5,6,0,,,,,,
Erwin Kostedde,Germany,68,1.77,Forward,1974.5,3,0,,,,,,
Hans-Georg Schwarzenbeck,Germany,66,1.83,Defender,1974.5,44,0,,,,,,
Wolfgang Seel,Germany,66,1.73,Forward,1974.5,6,0,,,,,,
Mick Channon,England,65,,Forward,1974.5,46,21,,,,,,
Emlyn Hughes,England,,,Defender,1974.5,62,1,,,,,,
Dave Thomas (footballer born 1950),England,63,,Midfielder,1974.5,8,0,,,,,,
Colin Todd,England,65,,Defender,1974.5,27,0,,,,,,
Christian Coste,France,65,,Forward,1974.5,5,2,,,,,,
Henri Michel,France,66,,Midfielder,1974.5,58,4,,,,,,
Christian Sarramagna,France,62,1.72,Forward,1974.5,4,0,,,,,,
Polo Carrera,Ecuador,69,,Forward,1974.5,20,3,,,,,,
Theodoros Pallas,Greece,,,Defender,1974.5,31,0,,,,,,
Atsuyoshi Furuta,Japan,61,1.74,Defender,1974.5,32,0,,,,,,
Akira Matsunaga (footballer born 1948),Japan,66,1.68,Forward,1974.5,10,2,,,,,,
Vincenzo Guerini,Italy,60,,Midfielder,1974.5,53,1,,,,,,
Masih Masihnia,Iran,,,Defender,1974.5,9,0,,,,,,
Peter Fregene,Nigeria,67,,Goalkeeper,1974.5,,,,,,,,
Chico Faria,Portugal,,,Forward,1974.5,4,1,,,,,,
V&#xED;tor Manuel Pereira,Portugal,61,,Midfielder,1974.5,2,0,,,,,,
Les&#x142;aw &#x106;mikiewicz,Poland,65,,Midfielder,1974.5,57,0,,,,,,
Anatoliy Konkov,Soviet Union,64,,Midfielder,1974.5,47,8,,,,,,
Sergei Olshansky,Soviet Union,66,,Defender,1974.5,19,0,,,,,,
Vladimir Pilguy,Soviet Union,66,,Goalkeeper,1974.5,12,,,,,,,
Volodymyr Troshkin,Soviet Union,66,,Defender,1974.5,31,1,,,,,,
Volodymyr Onyshchenko,Soviet Union,64,,Forward,1974.5,44,11,,,,,,
Martin Buchan,Scotland,65,,Defender,1974.5,34,0,,,,,,
Bobby Robinson (footballer),Scotland,,,Midfielder,1974.5,4,0,,,,,,
Kim Ho-gon,South Korea,63,,Defender,1974.5,,,,,,,,
Cornel Dinu,Romania,66,1.78,Midfielder,1974.5,75,7,,,,,,
Ildo Maneiro,Uruguay,67,,Midfielder,1974.5,33,3,,,,,,
Ren&#xE9; Hasler,Switzerland,66,1.7,Defender,1974.5,25,,,,,,,
Bj&#xF6;rn Andersson,Sweden,63,1.77,Defender,1974.5,28,1,,,,,,
Reine Almqvist,Sweden,65,,Forward,1974.5,4,0,,,,,,
Jan Mattsson,Sweden,63,,Forward,1974.5,13,0,,,,,,
Olle Nordin,Sweden,64,,Midfielder,1974.5,19,2,,,,,,
Staffan Tapper,Sweden,66,1.9,Midfielder,1974.5,36,3,,,,,,
Juan Manuel Asensi,Spain,64,1.78,Midfielder,1974.5,41,7,,,,,,
Gregorio Benito,Spain,67,1.8,Defender,1974.5,22,0,,,,,,
Andr&#xE9;s Rebottaro,Argentina,61,,Defender,1975,,,,,,,,
Juan Domingo Rocchia,Argentina,,,Defender,1975,,,,,,,,
Francisco S&#xE1;,Argentina,68,,Defender,1975,6,1,,,,,,
Wilhelm Kreuz,Austria,65,,Forward,1975,56,12,,,,,,
Lu&#xED;s Pereira,Brazil,65,,Defender,1975,38,1,,,,,,
Roberto Batata,Brazil,,,Forward,1975,6,3,,,,,,
Heino Hansen,Denmark,66,1.69,Midfielder,1975,31,5,,,,,,
Ferdinand Keller (footballer),Germany,68,,Forward,1975,1,0,,,,,,
Uwe Kliemann,Germany,65,1.96,Defender,1975,1,0,,,,,,
Manfred Ritschel,Germany,68,1.74,Defender,1975,3,1,,,,,,
Rudolf Seliger,Germany,62,1.76,Forward,1975,2,0,,,,,,
Gerry Francis,England,62,,Midfielder,1975,12,3,,,,,,
Alan Hudson,England,63,,Midfielder,1975,2,0,,,,,,
Brian Little (footballer),England,60,,Forward,1975,1,0,,,,,,
Colin Viljoen,England,66,,Midfielder,1975,2,0,,,,,,
Steve Whitworth,England,62,,Defender,1975,7,0,,,,,,
Joachim Fritsche,East Germany,62,1.8,Defender,1975,14,0,,,,,,
Bernard Boissier,France,61,,Defender,1975,1,0,,,,,,
Ren&#xE9; Charrier,France,62,,Goalkeeper,1975,2,0,,,,,,
Jean Gallice,France,65,,Midfielder,1975,7,1,,,,,,
Yves Mariot,France,,,Forward,1975,1,0,,,,,,
Charles Orlanducci,France,62,,Defender,1975,1,0,,,,,,
Patrick Parizon,France,64,1.7,Forward,1975,3,1,,,,,,
Patrick Revelli,France,63,,Forward,1975,5,1,,,,,,
Yves Triantafyllos,France,65,,Forward,1975,1,0,,,,,,
Victor Zvunka,France,62,1.84,Defender,1975,1,0,,,,,,
L&#xE1;szl&#xF3; Nagy (footballer),Hungary,64,,Forward,1975,25,7,,,,,,
Nico Braun,Luxembourg,63,1.76,Forward,1975,40,8,,,,,,
Ricardo Chavar&#xED;n,Mexico,63,,Forward,1975,11,1,,,,,,
Mitsunori Fujiguchi,Japan,65,1.75,(retired),1975,26,2,,,,,,
Nobuo Fujishima,Japan,64,1.68,Midfielder,1975,65,7,,,,,,
Toshio Takabayashi,Japan,60,1.75,Forward,1975,12,2,,,,,,
Fabio Capello,Italy,68,1.78,Midfielder,1975,32,8,,,,,,
Franco Cordova,Italy,70,1.79,Midfielder,1975,2,0,,,,,,
Francesco Rocca,Italy,60,1.79,Defender,1975,18,1,,,,,,
Itzhak Shum,Israel,65,,Midfielder,1975,78,10,,,,,,
Ali Parvin,Iran,66,1.69,Midfielder,1975,76,8,,,,,,
Mohammad Sadeghi,Iran,62,,Midfielder,1975,38,4,,,,,,
Harry Lubse,Netherlands,62,,Forward,1975,1,1,,,,,,
Bert van Marwijk,Netherlands,62,1.81,Midfielder,1975,1,,,,,,,
Heini Otto,Netherlands,59,,Midfielder,1975,1,0,,,,,,
V&#xED;tor Godinho,Portugal,69,,Forward,1975,1,0,,,,,,
Roman Jak&#xF3;bczak,Poland,68,1.77,Midfielder,1975,5,2,,,,,,
Antoni Szymanowski,Poland,63,1.7,Defender,1975,82,1,,,,,,
Sammy Morgan,Northern Ireland,67,,Forward,1975,18,3,,,,,,
Valeriy Zuyev,Soviet Union,61,1.81,Defender,1975,1,0,,,,,,
John Blackley,Scotland,66,,Defender,1975,7,0,,,,,,
Jim Brown (footballer born 1952),Scotland,62,,Goalkeeper,1975,1,0,,,,,,
Alfie Conn Jr.,Scotland,62,,Midfielder,1975,2,0,,,,,,
Willie Donachie,Scotland,62,,Defender,1975,35,0,,,,,,
Johnny Doyle,Scotland,,,Midfielder,1975,1,0,,,,,,
Arthur Duncan (footballer),Scotland,66,1.75,Midfielder,1975,6,0,,,,,,
Joe Harper (footballer),Scotland,66,1.68,Forward,1975,4,2,,,,,,
Billy Hughes (footballer born 1948),Scotland,65,,Forward,1975,1,0,,,,,,
Lou Macari,Scotland,65,,Midfielder,1975,24,5,,,,,,
Ted MacDougall,Scotland,67,,Forward,1975,7,3,,,,,,
Derek Parlane,Scotland,61,,Forward,1975,12,1,,,,,,
